NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          12m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          12m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          12m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          12m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
NAME                                   READY   STATUS    RESTARTS   AGE   IP              NODE      NOMINATED NODE   READINESS GATES
inference-deployment-b8bcbb89d-bj7lv   1/1     Running   0          13m   10.233.69.164   node-02   <none>           <none>
inference-deployment-b8bcbb89d-md5h9   1/1     Running   0          13m   10.233.69.163   node-02   <none>           <none>
