bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   0          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   0          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   0          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   0          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   0          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   0          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   0          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   0          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          23m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          24m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   1          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          25m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          26m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   0/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   2          27m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
bismakhomeini-trainning-deployment-b84bc6db8-vtrnc   1/1     Running   3          28m   10.233.88.99   dgx-a100   <none>           <none>
NAME                                                 READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
